filename,version
"cca_infrastructure_all_in_one_servers_file_version","2023.1.1"
"cca_infrastructure_cluster_manager_cluster_c1_file_version","2023.1.1"
"cca_infrastructure_cluster_manager_cluster_c2_file_version","2023.1.1"
"cca_infrastructure_cluster_peers_cluster_c1_file_version","2023.1.1"
"cca_infrastructure_cluster_peers_cluster_c2_file_version","2023.1.1"
"cca_infrastructure_core_control_file_version","2023.1.1"
"cca_infrastructure_data_collection_nodes_file_version","2023.1.1"
"cca_infrastructure_defaults_file_version","2023.1.1"
"cca_infrastructure_deployment_servers_file_version","2023.1.1"
"cca_infrastructure_env_specific_file_version","2022.3.1"
"cca_infrastructure_forwarders_file_version","2023.1.1"
"cca_infrastructure_general_settings_file_version","2023.1.1"
"cca_infrastructure_hybrid_searchheads_file_version","2023.1.1"
"cca_infrastructure_license_managers_file_version","2023.1.1"
"cca_infrastructure_linux_file_version","2022.2.1"
"cca_infrastructure_monitoring_consoles_file_version","2023.1.1"
"cca_infrastructure_msiem_settings_file_version","2023.1.1"
"cca_infrastructure_searchhead_deployer_shcluster_c1_file_version","2023.1.1"
"cca_infrastructure_searchhead_deployer_shcluster_c2_file_version","2023.1.1"
"cca_infrastructure_searchhead_members_shcluster_c1_file_version","2022.3.1"
"cca_infrastructure_searchhead_members_shcluster_c2_file_version","2023.1.1"
"cca_infrastructure_settings_file_version","2022.2.1"
"cca_infrastructure_standalone_indexers_file_version","2023.1.1"
"cca_infrastructure_standalone_searchheads_file_version","2023.1.1"
